p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.05,72,1448,0.0497237569060773,0.0023303275209887,0.961498300946364,0.5593799191647122,0.4545101904774811,0.5617102466857009,0.7551377293856258,6.147685146357227,0.4068514433459953,0.149103792012192,DAX,FHS,0.05,0.999359749683132,1.007691944972167,,,
0.01,14,1448,0.0096685082872928,0.0162510997340095,0.8985606589868602,2.3798323806489634,0.122910734388781,2.396083480382973,0.3017846063160934,12.440626798414304,0.0528306493690307,0.046652207796147,DAX,GARCH-EVT,0.01,1.4246620748585073,1.0887668384163938,,,
0.025,31,1448,0.0214088397790055,0.8046706933727723,0.3697005675986389,1.8586530966107944,0.172780332733491,2.6633237899835667,0.264038092890797,6.5042820451382655,0.3691284182791692,0.0915809883099018,DAX,GARCH-EVT,0.025,1.194138422545176,1.0602843409895213,,,
0.05,74,1448,0.0511049723756906,0.0369632123062966,0.8475399655506343,0.3977876036160523,0.5282340479114687,0.434750815922349,0.8046278488990873,4.905989034730154,0.5559261675917391,0.1489455125467547,DAX,GARCH-EVT,0.05,0.9981134457864864,0.9969789386264504,,,
0.01,35,1448,0.024171270718232,21.035720661258644,4.507999450176214e-06,1.211716888335502,0.2709923629310499,22.247437549594142,1.4758095551403729e-05,51.32740996714984,2.545751276450403e-09,0.052825532280693,DAX,RiskMetrics,0.01,1.77219895989739,1.266180798720517,,,
0.025,58,1448,0.0400552486187845,11.418897473061342,0.0007270082487458,4.533446347880727,0.0332386159372819,15.952343820942067,0.000343552056502,43.98185641544744,7.45358290643594e-08,0.0961201429304238,DAX,RiskMetrics,0.025,1.3454878190732755,1.2231663493163352,,,
0.05,87,1448,0.0600828729281767,2.919625533859076,0.0875081695425381,4.007214682526296,0.0453059384554507,6.926840216385372,0.0313224524415771,19.00456627300595,0.0041559282589286,0.1527058062366132,DAX,RiskMetrics,0.05,1.070682334880144,1.2141632536358875,,,
0.01,27,1448,0.018646408839779,8.715364104565456,0.0031553939242419,21.213825475226827,4.107905896222341e-06,29.929189579792283,3.1692686808249e-07,195.59232859782415,0.0,0.0594743534379933,DAX,Hist,0.01,1.8513065031972928,1.0817981711365887,,,
0.025,51,1448,0.0352209944751381,5.517878878923696,0.0188230687761605,13.14612412025184,0.0002881146095898,18.664002999175537,8.854483716724815e-05,82.1688105040619,1.2212453270876722e-15,0.1072872399747399,DAX,Hist,0.025,1.4695457064234398,1.0518688224637351,,,
0.05,81,1448,0.055939226519337,1.0372205808864905,0.3084687734416099,18.05045838038177,2.151268428862707e-05,19.08767896126826,7.16412537208333e-05,50.26778305691723,4.154350974339138e-09,0.1683243909286122,DAX,Hist,0.05,1.1955775100609778,1.0919958116907764,,,
0.01,95,1448,0.0656077348066298,200.9805201409311,0.0,2.250518355129429,0.1335696535076254,203.2310384960605,0.0,526.457199671099,0.0,0.0747013168698452,DAX,Fixed-coefficient-control,0.01,3.494419190381432,1.3156543093312858,,,
0.025,126,1448,0.0870165745856353,140.53713801666447,0.0,6.011016122032174,0.0142168384257692,146.54815413869665,0.0,292.11296566242214,0.0,0.1164142465836207,DAX,Fixed-coefficient-control,0.025,2.1994583791339744,1.3617054091591738,,,
0.05,163,1448,0.1125690607734806,89.4659191033276,0.0,5.747620260989379,0.0165110085116473,95.21353936431696,0.0,162.0142202357515,0.0,0.1670859120790189,DAX,Fixed-coefficient-control,0.05,1.5444534988409546,1.3740166499044426,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,6.893466978533979,0.0086511319847059,8.130397934844678,0.0171595747375692,41.05864089971141,2.819655278152311e-07,0.1021630982472038,DAX,TCP,0.025,,,,,
