t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
722,2021-01-21,0.05237010099749021,0.015335874053184161,0.04628932434517599,0.945373111044363,3.352088723395543,0.9916624353895389,1,0,4,722,-917.251324717394,5,0,accepted,0,0
747,2021-03-02,0.04684781266071013,0.013298466548980604,0.042629375740941354,0.9502730244151538,3.3828602477067453,0.9929024001560952,1,0,3,747,-956.128882176711,5,0,accepted,0,0
772,2021-04-08,0.05583061098474323,0.017212434030796288,0.04623262553539214,0.9445655512784573,3.2943236845642514,0.9907981768138494,1,0,5,750,-962.6216029236181,5,0,accepted,0,0
797,2021-05-19,0.03989556675877306,0.010989392057715578,0.040415780606822195,0.9552373611856686,3.2627482046881973,0.9956531417924908,1,0,2,750,-969.1003271310277,5,0,accepted,0,0
822,2021-06-25,0.04370988042192984,0.01248342627960146,0.040293580722130226,0.9559196744473838,3.116310356324924,0.996213255169514,1,0,1,750,-967.0635573113087,5,0,accepted,0,0
847,2021-08-04,0.04073454613829216,0.011117885610921923,0.036922108812592565,0.9616258810661383,2.953944728215569,0.998547989878731,1,0,2,750,-960.3030910852564,5,0,accepted,0,0
872,2021-09-13,0.04363516235931458,0.014960547946498324,0.040727302162390504,0.9592726978376095,2.836872474216969,1.0,1,0,2,750,-967.1472345805443,5,0,accepted,0,1
897,2021-10-20,0.04907132262791517,0.01729679032197633,0.04055043861659706,0.9547093864285362,2.9742537399676645,0.9952598250451332,1,0,1,750,-983.0206039292035,5,0,accepted,0,0
922,2021-11-29,0.06976657737911217,0.01608217378231879,0.03931470268839353,0.9567474606038437,2.9715498357330064,0.9960621632922373,1,0,2,750,-996.5637421703514,5,0,accepted,0,0
947,2022-01-11,0.07441485630592497,0.015493310929381889,0.03815345822892515,0.956301185841933,3.0567893601903005,0.9944546440708582,1,0,4,750,-1000.6235030910964,5,0,accepted,0,0
972,2022-02-17,0.07842366343152876,0.016041592269764808,0.037657777862607114,0.9561433699983101,3.089722176312663,0.9938011478609172,1,0,2,750,-1002.8673784469547,5,0,accepted,0,0
997,2022-03-29,0.0854265078400613,0.024892720347604255,0.049501356836175216,0.9432461993752667,3.07090361784307,0.9927475562114418,1,0,2,750,-1023.5231839096448,5,0,accepted,0,0
1022,2022-05-12,0.08014124437680838,0.03105516597053785,0.05132661736506665,0.9364573982445084,3.1410709171635385,0.987784015609575,1,0,2,750,-1037.5235622804687,5,0,accepted,0,0
1047,2022-06-22,0.07924618084945081,0.03424868863969714,0.051435520147303154,0.9309433118241728,3.2763637731711213,0.9823788319714759,1,0,4,750,-1048.0131557229552,5,0,accepted,0,0
1072,2022-07-29,0.07675699933795836,0.03742699680969455,0.051387370782179094,0.93247781965227,3.123953201622018,0.9838651904344491,1,0,3,750,-1050.7258163588133,5,0,accepted,0,0
1097,2022-09-07,0.06964169567285244,0.043359267133163557,0.05207721008959469,0.9254397784220535,3.235690391246971,0.9775169885116481,1,0,4,750,-1057.077938945207,5,0,accepted,0,0
1122,2022-10-17,0.05761187975896927,0.04846614215310657,0.05331315929685923,0.918187594689452,3.4281709962171156,0.9715007539863112,1,0,1,750,-1066.0891774338975,5,0,accepted,0,0
1147,2022-11-22,0.05002168415600338,0.05313882969410369,0.053607634002945034,0.9147440775764177,3.4313142849166836,0.9683517115793627,1,0,1,750,-1068.79946126169,5,0,accepted,0,0
1172,2023-01-04,0.058300425948527246,0.047347530745250326,0.05159014017320552,0.9208288570487583,3.4192175134248175,0.9724189972219638,1,0,1,750,-1074.0759876444902,5,0,accepted,0,0
1197,2023-02-10,0.0634526739455114,0.04351613227313986,0.04884108266458027,0.92887971385328,3.2743118912573617,0.9777207965178604,1,0,5,750,-1072.9342959933447,5,0,accepted,0,0
1222,2023-03-22,0.07067696984037056,0.05881136136932792,0.053588304565957035,0.9197445583213192,3.137232972707078,0.9733328628872762,1,0,1,750,-1081.341675180278,5,0,accepted,0,0
1247,2023-04-28,0.06391099607335364,0.07056322403699672,0.058394846766113374,0.904128295633301,3.3298557797411625,0.9625231423994144,1,0,4,750,-1090.6590813574614,5,0,accepted,0,0
