t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
1372,2023-11-10,0.0855704451240121,0.024003342934550732,0.09425505784984872,0.8904239369469353,11.362901625174771,0.984678994796784,1,0,5,750,-1110.0962093412722,5,0,accepted,0,0
1397,2023-12-18,0.09694012539664194,0.021632116422587493,0.09417595019623447,0.8893674155298799,12.994827263984497,0.9835433657261143,1,0,5,750,-1093.9340836798046,5,0,accepted,0,0
1422,2024-01-31,0.10287898039607317,0.025874960341065803,0.10237144023787621,0.8762690341002791,13.17612688988877,0.9786404743381554,1,0,1,750,-1079.802167258969,5,0,accepted,0,0
1447,2024-03-11,0.09277825865276702,0.01531883222987303,0.0705517312260194,0.9175768745265196,14.918675525770086,0.988128605752539,1,0,1,750,-1068.5954869887437,5,0,accepted,0,0
1472,2024-04-18,0.08077006626569708,0.012170286063097887,0.06298178477363361,0.9264159799321671,19.02745229743431,0.9893977647058007,1,0,1,750,-1070.7433139816808,5,0,accepted,0,0
1497,2024-05-30,0.08468839457940174,0.011005761149833218,0.06102728243056582,0.9291159833272075,21.964497976787396,0.9901432657577733,1,0,1,750,-1060.4768820716195,5,0,accepted,0,0
1522,2024-07-08,0.09576340852814236,0.010231971691997443,0.07359779721027644,0.9182780361602699,17.07911360700394,0.9918758333705464,1,0,5,750,-1043.4365593501218,5,0,accepted,0,0
1547,2024-08-14,0.09528591123150364,0.01599130280823847,0.08899340933955004,0.9014268575465126,17.30029803251848,0.9904202668860627,1,0,1,750,-1053.6931553436461,5,0,accepted,0,0
1572,2024-09-24,0.09287272177809795,0.018588904889936496,0.08719804160167131,0.8997564362075584,18.62849627503322,0.9869544778092297,1,0,5,750,-1068.1077369080854,5,0,accepted,0,0
1597,2024-10-30,0.09092858312137998,0.018047359797107337,0.09527664125801287,0.8919518012864591,16.989350376194693,0.987228442544472,1,0,4,750,-1061.9441442917719,5,0,accepted,0,0
1622,2024-12-06,0.10120994071848334,0.017210350940744145,0.08890319425087474,0.8982239640566917,13.299421687081235,0.9871271583075665,1,0,5,750,-1071.7998159755268,5,0,accepted,0,0
1647,2025-01-24,0.10137608915063931,0.017580984142425354,0.08315461568915407,0.9057582117292321,10.018160778808667,0.9889128274183862,1,0,1,750,-1071.463021406983,5,0,accepted,0,0
1672,2025-03-05,0.08436227567600556,0.014162001974192807,0.06831490812594351,0.920441275551989,13.158500024494172,0.9887561836779325,1,0,2,750,-1081.172925573328,5,0,accepted,0,0
1697,2025-04-10,0.09187010048323373,0.01603720253088176,0.09577025971276612,0.9000438897641576,8.359032104544134,0.9958141494769237,1,0,2,750,-1099.7589827665229,5,0,accepted,0,0
