t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
1022,2022-05-12,0.04412688104335762,0.21427891355709258,0.09499888253444334,0.8971367590560134,6.046436854200943,0.9921356415904568,1,0,2,750,-1989.4303529067672,5,0,accepted,0,0
1047,2022-06-22,0.040653489450011376,0.18149681691781863,0.07339507013204384,0.9199872832542658,5.9223380369375,0.9933823533863096,1,0,5,750,-2001.3612073039922,5,0,accepted,0,0
1072,2022-07-29,0.07452079881542098,0.23855882495871109,0.07364923658506158,0.9169158367215737,5.728843193514332,0.9905650733066353,1,0,4,750,-2037.8386261715373,5,0,accepted,0,0
1097,2022-09-07,0.10419986548877168,0.2883232543939923,0.07562839666027206,0.9115467924709242,5.680651107592056,0.9871751891311963,1,0,3,750,-2061.4693491133826,5,0,accepted,0,0
1122,2022-10-17,0.1309130573956636,0.2882815201590002,0.07652806872983862,0.9117190991408997,5.586149684811686,0.9882471678707383,1,0,4,750,-2077.7863921025414,5,0,accepted,0,0
1147,2022-11-22,0.18140095637550838,0.3222356214253727,0.09129202665268653,0.8995224817570544,5.9331534910673565,0.990814508409741,1,0,5,750,-2103.5363040411844,5,0,accepted,0,0
1172,2023-01-04,0.08355600650930411,0.31749615512459306,0.09276948126862902,0.8996048751905541,6.124115954860386,0.9923743564591831,1,0,5,750,-2133.634391825871,5,0,accepted,0,0
1197,2023-02-10,0.10757354433578226,0.25419122821409584,0.08933010889698877,0.9059979095132846,6.25724836535398,0.9953280184102734,1,0,3,750,-2155.3876353769692,5,0,accepted,0,0
1222,2023-03-22,0.09774272713168643,0.2325406832618562,0.08799749555545439,0.9094681697850783,6.4514568173840425,0.9974656653405327,1,0,5,750,-2169.8838299571116,5,0,accepted,0,0
1247,2023-04-28,0.17198325886626456,0.24644453172892233,0.09249207680989947,0.9058710451308467,6.443750046222279,0.9983631219407462,1,0,4,750,-2185.961101784812,5,0,accepted,0,0
1272,2023-06-12,0.2043561015257622,0.19024908856849884,0.08397800756257894,0.9137339326217826,6.657486631024739,0.9977119401843615,1,0,1,750,-2197.3410845343114,5,0,accepted,0,0
1297,2023-07-20,0.2213168760926229,0.1786888691270746,0.08200219467045775,0.9147887911738807,6.554217133930969,0.9967909858443385,1,0,2,750,-2193.3448392148844,5,0,accepted,0,0
1322,2023-08-25,0.20892879840209128,0.1777934527842559,0.07771525641534603,0.9197443610368995,6.2755402100137,0.9974596174522455,1,0,1,750,-2186.6453375836963,5,0,accepted,0,0
1347,2023-10-04,0.25452497563526627,0.17047321536449778,0.07683962411024321,0.9206148555312306,6.570529758435737,0.9974544796414738,1,0,5,750,-2186.1245159925684,5,0,accepted,0,0
1372,2023-11-10,0.22750608161077776,0.1808653137431548,0.08219008312605851,0.9148529995482735,7.270899824184256,0.997043082674332,1,0,2,750,-2184.20981106776,5,0,accepted,0,0
1397,2023-12-18,0.18674816457148338,0.1792235727152156,0.08083904542210438,0.9145005882613343,7.751151597657517,0.9953396336834387,1,0,1,750,-2179.1169228428134,5,0,accepted,0,0
1422,2024-01-31,0.16351590679122271,0.19603896015716948,0.09649344019250311,0.9035065598074968,7.843207941730492,1.0,1,0,2,750,-2186.7685010827345,5,0,accepted,0,1
1447,2024-03-11,0.16449290612446846,0.19774033586650164,0.09126263608162537,0.9074366361764775,7.805712828400158,0.9986992722581028,1,0,3,750,-2190.334488008155,5,0,accepted,0,0
1472,2024-04-18,0.1582714494160789,0.2131219431509363,0.09505089343130069,0.902236916963359,7.899287842653947,0.9972878103946596,1,0,2,750,-2193.332414284739,5,0,accepted,0,0
1497,2024-05-30,0.1566508372887441,0.192567355629927,0.07586598820577768,0.9224629581852983,6.955289601426242,0.998328946391076,1,0,3,750,-2202.1970932354125,5,0,accepted,0,0
1522,2024-07-08,0.22655059758626123,0.22596266047457494,0.07373626165446151,0.9225270264658267,7.47977921002802,0.9962632881202882,1,0,2,750,-2212.2757510135534,5,0,accepted,0,0
1547,2024-08-14,0.08131603673901053,0.4252779459925599,0.07040782625612335,0.9167392905609141,7.557507403583446,0.9871471168170374,1,0,2,750,-2233.7265080923416,5,0,accepted,0,0
1572,2024-09-24,0.05352251808138591,0.8662273471458867,0.06974884193140889,0.8991200818416437,7.728660078438739,0.9688689237730526,1,0,2,750,-2248.9803831730687,5,0,accepted,0,0
1597,2024-10-30,-0.04906216385952179,2.08717489701765,0.06947580269542923,0.8527074324904894,7.594097157302466,0.9221832351859186,1,0,3,750,-2264.1775356359713,5,0,accepted,0,0
1622,2024-12-06,-0.06944513983103923,3.4072635225196373,0.07227188683031609,0.8020073470876273,7.534086396371584,0.8742792339179434,1,0,1,750,-2279.9742091295175,5,0,accepted,0,0
1647,2025-01-24,-0.036396583753527126,3.4397437949237144,0.07467831753807987,0.7979506701216821,7.594874417213767,0.8726289876597619,1,0,4,750,-2278.5002258325794,5,0,accepted,0,0
1672,2025-03-05,-0.012513120433009195,3.933937167973468,0.07522665906467624,0.7774361226298874,7.328108587397486,0.8526627816945636,1,0,2,750,-2277.2784947869113,5,0,accepted,0,0
1697,2025-04-10,-0.013580208691509475,2.282972688990786,0.051665644337487264,0.8575819452196186,7.73450764665711,0.9092475895571058,1,0,4,750,-2268.401292832372,5,0,accepted,0,0
