t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
647,2020-09-18,-0.005041188910555378,0.0025082413478739636,0.040451916704975145,0.9467443093376998,8.430020869560407,0.987196226042675,1,0,1,647,-361.81175957989444,5,0,accepted,0,0
672,2020-10-28,-0.004117842368763152,0.00236865076445784,0.03827719649448199,0.949342439080009,8.602056282482746,0.9876196355744911,1,0,2,672,-376.05629232194315,5,0,accepted,0,0
697,2020-12-07,-0.0012469148594719736,0.002139794793184114,0.03516192988386152,0.9538933264870662,8.553474118176995,0.9890552563709276,1,0,1,697,-392.854210251293,5,0,accepted,0,0
722,2021-01-21,-0.0004163234094995916,0.0021955485606301793,0.03441446660433264,0.9540446767319738,8.865795469649102,0.9884591433363065,1,0,2,722,-404.70045249250666,5,0,accepted,0,0
747,2021-03-02,-0.0009135190541623129,0.002123948888250691,0.033297765263063425,0.9550594161472331,9.068509155514567,0.9883571814102965,1,0,5,747,-413.88968266918334,5,0,accepted,0,0
772,2021-04-08,-0.004624421755278042,0.0022837929446844828,0.03321979065078559,0.9538936888767239,10.301509135749688,0.9871134795275095,1,0,2,750,-417.08004210060113,5,0,accepted,0,0
797,2021-05-19,-0.004969084524532542,0.002550499879606167,0.03569071043564783,0.95003718745779,10.899756011322005,0.9857278978934378,1,0,1,750,-407.9264537187414,5,0,accepted,0,0
822,2021-06-25,-0.0073817321953186825,0.002685099011352854,0.035374708588811137,0.9497577030999136,9.872197908948632,0.9851324116887247,1,0,2,750,-400.6586390655158,5,0,accepted,0,0
847,2021-08-04,-0.007110237644392256,0.002295053325118702,0.033656238158539374,0.952409658493798,9.734264463351089,0.9860658966523373,1,0,2,750,-392.9252729932077,5,0,accepted,0,0
872,2021-09-13,-0.0019951414849541465,0.002468792383739898,0.03540521182896069,0.9488810104671892,9.274321470457538,0.9842862222961499,1,0,1,750,-378.96562743903854,5,0,accepted,0,0
897,2021-10-20,-0.007573676827081985,0.0023633179556399072,0.04268343937212136,0.9424848581465982,10.628060248367401,0.9851682975187196,1,0,5,750,-359.08510249063283,5,0,accepted,0,0
922,2021-11-29,-0.010245718808634955,0.0032820985700867575,0.045343014425494835,0.9341368618642529,10.099117259637048,0.9794798762897478,1,0,5,750,-362.87356391666077,5,0,accepted,0,0
947,2022-01-11,-0.009854201996005755,0.003151727219718019,0.044809200470978916,0.935437414051361,10.033563637167575,0.98024661452234,1,0,2,750,-354.7443248011688,5,0,accepted,0,0
972,2022-02-17,-0.0067370362050466264,0.00339769858626875,0.04696090553099091,0.9326379828993802,10.11723195399569,0.979598888430371,1,0,1,750,-357.7424980584625,5,0,accepted,0,0
997,2022-03-29,-0.008660630600585185,0.0033627580345183196,0.0501616285778691,0.9315306812053357,8.44985453345796,0.9816923097832048,1,0,5,750,-367.7009623644298,5,0,accepted,0,0
1022,2022-05-12,-0.01188615298775349,0.002655554276506946,0.04699531412351917,0.9392619445215098,8.268873460434932,0.986257258645029,1,0,1,750,-373.7514482035517,5,0,accepted,0,0
1047,2022-06-22,-0.012005757548091823,0.002042880457953937,0.04575907813424762,0.9457044904382694,8.191056091468928,0.991463568572517,1,0,3,750,-390.330349850724,5,0,accepted,0,0
1072,2022-07-29,-0.011461356489974504,0.002125089327175007,0.04561841828836579,0.9463085429864122,8.635842355319193,0.991926961274778,1,0,4,750,-407.702709201929,5,0,accepted,0,0
1097,2022-09-07,-0.012197805006498296,0.00208216636944855,0.04599813776838611,0.9459115172038945,9.089651330738327,0.9919096549722807,1,0,4,750,-428.37364633613686,5,0,accepted,0,0
1122,2022-10-17,-0.016561306145191548,0.001481171223101467,0.05026982729359978,0.946748042524351,9.13494938815355,0.9970178698179507,1,0,5,750,-453.7294261467037,5,0,accepted,0,0
1147,2022-11-22,-0.01355704391756599,0.0016030805328655575,0.0545232158539493,0.9431147204791271,10.772398769565477,0.9976379363330764,1,0,2,750,-473.0764888299479,5,0,accepted,0,0
1172,2023-01-04,-0.006378669605236956,0.0027451183521973784,0.06461261097360954,0.9266614870267035,11.441852691980918,0.991274098000313,1,0,1,750,-489.57451016965797,5,0,accepted,0,0
1197,2023-02-10,-0.008915203753091138,0.002365772511618216,0.051112610075742956,0.9427435092710549,9.744219441145239,0.9938561193467979,1,0,3,750,-508.51013260432484,5,0,accepted,0,0
1222,2023-03-22,-0.009852527830041436,0.00242845305600462,0.051022222513165245,0.9426611262397477,10.032148209730538,0.993683348752913,1,0,1,750,-531.1924807637942,5,0,accepted,0,0
1247,2023-04-28,-0.006511498019133441,0.0019247868111390272,0.046587089321266685,0.9485652515970768,10.377968852550232,0.9951523409183435,1,0,3,750,-546.6598630860326,5,0,accepted,0,0
