coverage,width,winkler,n,n_missing,series,model
0.9461325966850829,22.976745180280155,34.42455164914168,1448,0,ETH-USD,Hist
0.8522099447513812,14.271330113929054,38.67848496607367,1448,0,ETH-USD,Fixed-coefficient-control
0.9482044198895028,28.5667827306317,40.43468122545193,1448,0,LTC-USD,TCP
0.9482044198895028,28.571933826808518,40.435447406540206,1448,0,LTC-USD,TCP-RM
0.9468232044198895,28.521587191077817,40.499385766475264,1448,0,LTC-USD,CQR
0.9461325966850829,28.926422423623674,41.272820375623205,1448,0,LTC-USD,ACI-fixed
0.8791436464088398,22.087749820590457,44.93018577065974,1448,0,LTC-USD,Reversed-sign-control
0.8598066298342542,17.415700424825832,45.06920212754079,1448,0,LTC-USD,QR-base
0.9502762430939227,24.996664865843385,35.37498449916048,1448,0,LTC-USD,GARCH-t
0.9502762430939227,25.326695503991726,35.65632218948646,1448,0,LTC-USD,FHS
0.9502762430939227,25.196573356527235,35.52857117887092,1448,0,LTC-USD,GARCH-EVT
0.9330110497237569,22.16948897461525,36.06171330804158,1448,0,LTC-USD,RiskMetrics
0.93853591160221,24.21453042992553,36.24945955238977,1448,0,LTC-USD,Hist
0.8535911602209945,15.339190197539185,42.494524566512425,1448,0,LTC-USD,Fixed-coefficient-control
0.9426795580110497,4.736834149402564,6.324644902591259,1448,0,Gold,TCP
0.9426795580110497,4.743810018551114,6.324579926059469,1448,0,Gold,TCP-RM
0.9426795580110497,4.735183760087261,6.325224312236309,1448,0,Gold,CQR
0.9399171270718232,4.922529342504621,6.3765056082017635,1448,0,Gold,ACI-fixed
0.8294198895027625,2.990087082389018,7.971865319649311,1448,0,Gold,Reversed-sign-control
0.8100828729281768,2.8178675599447907,8.226468647184964,1448,0,Gold,QR-base
0.9288674033149171,3.9401250338057765,6.040531703551621,1448,0,Gold,GARCH-t
0.9357734806629834,4.045417947389207,6.007110867559267,1448,0,Gold,FHS
0.93853591160221,4.107765027612185,5.9841742029521106,1448,0,Gold,GARCH-EVT
0.9247237569060773,3.888470432889908,5.84318345550419,1448,0,Gold,RiskMetrics
0.9323204419889503,4.040868824747289,6.103184424880015,1448,0,Gold,Hist
0.8363259668508287,2.7308926000544766,7.149496291629636,1448,0,Gold,Fixed-coefficient-control
0.9357734806629834,12.93965637420542,18.32527057852526,1448,0,WTI,TCP
0.9357734806629834,12.946564364598325,18.324774488072425,1448,0,WTI,TCP-RM
0.9350828729281768,12.932243110888862,18.376860865597923,1448,0,WTI,CQR
0.944060773480663,13.590744726997913,17.646443463813657,1448,0,WTI,ACI-fixed
0.8446132596685083,8.035404951840318,23.139565804063547,1448,0,WTI,Reversed-sign-control
0.830110497237569,7.3451795467219,24.481097273692814,1448,0,WTI,QR-base
0.9516574585635359,10.910865244456957,16.267811670387342,1448,0,WTI,GARCH-t
0.9509668508287292,10.62363459309888,16.176564927922957,1448,0,WTI,FHS
0.9530386740331491,10.793074901620463,16.146551849472395,1448,0,WTI,GARCH-EVT
0.9419889502762431,10.74496290836946,16.35536154423608,1448,0,WTI,RiskMetrics
0.9426795580110497,11.398823379257943,20.298554269474423,1448,0,WTI,Hist
0.8425414364640884,7.3875936326585965,18.50202739825535,1448,0,WTI,Fixed-coefficient-control
0.9544198895027625,19.746059629924922,25.80922534951456,1448,0,NatGas,TCP
0.9544198895027625,19.74331305783363,25.808408235083018,1448,0,NatGas,TCP-RM
0.9516574585635359,19.615609602442696,25.771708646789495,1448,0,NatGas,CQR
0.9447513812154696,20.38236235659994,26.53920150797317,1448,0,NatGas,ACI-fixed
0.8294198895027625,13.621222745147142,31.741332019858973,1448,0,NatGas,Reversed-sign-control
0.8169889502762431,12.854826513590087,31.938072497238114,1448,0,NatGas,QR-base
0.955110497237569,17.325572187931165,23.135796788256105,1448,0,NatGas,GARCH-t
0.9419889502762431,16.961914533192328,23.33344854957213,1448,0,NatGas,FHS
