t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
797,2021-05-19,0.09931680349703226,0.09868892362189416,0.12286022459089925,0.8289913603672393,3.881737755147514,0.9518515849581386,1,0,4,750,-1156.8570721380424,5,0,accepted,0,0
822,2021-06-25,0.10844476269603692,0.09617986934553792,0.12869136557680683,0.8286482571532684,3.7012395145542674,0.9573396227300752,1,0,2,750,-1141.7703854510514,5,0,accepted,0,0
847,2021-08-04,0.1067858196246266,0.09388765349683008,0.12306851257105222,0.835496729434478,3.641488728341768,0.9585652420055302,1,0,2,750,-1137.7675652070754,5,0,accepted,0,0
872,2021-09-13,0.10075410605825899,0.08899060559894299,0.14265689432925655,0.8256431662419796,3.514369696342837,0.9683000605712362,1,0,4,750,-1126.1702879801412,5,0,accepted,0,0
897,2021-10-20,0.10171357221346204,0.08931387918687667,0.1371558878785013,0.8294321170021516,3.5301478852515493,0.9665880048806529,1,0,2,750,-1124.0593970604345,5,0,accepted,0,0
922,2021-11-29,0.1051186834788974,0.09364638331292238,0.17989770815877798,0.8019021781334208,3.374914533157457,0.9817998862921988,1,0,1,750,-1118.9244928317369,5,0,accepted,0,0
947,2022-01-11,0.11145942448207737,0.08667772833286393,0.17092507772988458,0.8117247946252523,3.441908254969715,0.9826498723551369,1,0,2,750,-1129.6961803139586,5,0,accepted,0,0
972,2022-02-17,0.11827139166238368,0.08522999192269759,0.1722045349893372,0.8176866455481163,3.3133945134996865,0.9898911805374535,1,0,4,750,-1135.2076187617627,5,0,accepted,0,0
997,2022-03-29,0.11948319221094275,0.09470763172842364,0.20835261858639786,0.7916473814136021,3.274766535597522,1.0,1,0,2,750,-1160.4098684543264,5,0,accepted,0,1
1022,2022-05-12,0.1153557891640768,0.08247062680037186,0.201722753099358,0.7982772469006421,3.4922658923693657,1.0,1,0,4,750,-1163.4493337454312,5,0,accepted,0,1
1047,2022-06-22,0.11080523383467057,0.07087562969753994,0.1902929241383753,0.8097070758616184,3.745500854217676,0.9999999999999937,1,0,2,750,-1180.563850432193,5,0,accepted,0,1
1072,2022-07-29,0.10509243612340088,0.06603982874886392,0.186086584966217,0.813913415033783,3.847356770529271,1.0,1,0,5,750,-1198.0482518616955,5,0,accepted,0,1
1097,2022-09-07,0.10047365196643915,0.0630261393967699,0.17528001233601176,0.8247199876639882,3.846232398748174,1.0,1,0,3,750,-1206.876453546258,5,0,accepted,0,1
1122,2022-10-17,0.09046367349118278,0.0618994406053467,0.17384293046848917,0.8261570695314898,3.9383148799815735,0.999999999999979,1,0,2,750,-1222.818669982082,5,0,accepted,0,1
1147,2022-11-22,0.1158811086675116,0.05739877097177595,0.1698978350825359,0.830102164917464,3.930834564223318,0.9999999999999999,1,0,4,750,-1223.1455200935532,5,0,accepted,0,1
1172,2023-01-04,0.09895843844089815,0.0568738697795106,0.15442853825972191,0.8455714617402781,3.732740385397325,1.0,1,0,5,750,-1223.1782906510366,5,0,accepted,0,1
1197,2023-02-10,0.09819283106454418,0.05430758505172099,0.14583564581806518,0.8541643541819348,3.66784549155278,1.0,1,0,4,750,-1222.231430012378,5,0,accepted,0,1
1222,2023-03-22,0.09788763729723958,0.07200599073627441,0.1690556751066326,0.8309443248933674,3.67579593231562,1.0,1,0,1,750,-1238.142013096331,5,0,accepted,0,1
1247,2023-04-28,0.10206797911283266,0.06960473977861333,0.18296507005439266,0.8170349299455982,3.657260422568349,0.9999999999999909,1,0,2,750,-1236.8614317435104,5,0,accepted,0,1
1272,2023-06-12,0.10343237876901637,0.06923271410303673,0.17611720161077254,0.8197777689305995,3.7442431565492664,0.995894970541372,1,0,4,750,-1220.830190124842,5,0,accepted,0,0
1297,2023-07-20,0.10515082903138254,0.07992236498834814,0.18562099302156182,0.7995791407091056,4.0036785808644595,0.9852001337306675,1,0,2,750,-1180.3004453447502,5,0,accepted,0,0
1322,2023-08-25,0.0910110378023229,0.09491534335527549,0.1929572749951608,0.7780954632680751,4.105942472020089,0.9710527382632359,1,0,3,750,-1152.6286689421313,5,0,accepted,0,0
1347,2023-10-04,0.08023946754827944,0.1121591966845727,0.20094991328156117,0.7543984880934959,4.262608184779361,0.955348401375057,1,0,2,750,-1129.8691730362052,5,0,accepted,0,0
1372,2023-11-10,0.07825306800877692,0.11350649121805308,0.20231571426630462,0.7500691138541548,4.266254702313037,0.9523848281204594,1,0,2,750,-1114.3849709351894,5,0,accepted,0,0
1397,2023-12-18,0.09652228097248092,0.0962958602302401,0.20420581500112797,0.7552763513447891,4.317462875677446,0.9594821663459171,1,0,5,750,-1100.4759141191676,5,0,accepted,0,0
1422,2024-01-31,0.09448681347564447,0.08735555820075634,0.19725440646242445,0.757146357009281,4.6324380009302715,0.9544007634717054,1,0,2,750,-1077.1723189710035,5,0,accepted,0,0
1447,2024-03-11,0.10067639169410729,0.05398386282028775,0.1689925601866841,0.8086271688237434,4.542167752512117,0.9776197290104275,1,0,1,750,-1052.892383465688,5,0,accepted,0,0
1472,2024-04-18,0.09789959970459429,0.051701488399753553,0.1608825995544114,0.8141939256365238,4.636390253693577,0.9750765251909352,1,0,1,750,-1041.982562397601,5,0,accepted,0,0
1497,2024-05-30,0.09888071857616404,0.05396635438869495,0.1661497050842398,0.8110468802772649,4.373463047548904,0.9771965853615047,1,0,1,750,-1037.8753951244898,5,0,accepted,0,0
1522,2024-07-08,0.08842575055792348,0.059602361883089525,0.17475029779012158,0.7973496096124786,4.673376316353851,0.9720999074026002,1,0,2,750,-1038.3697206375791,5,0,accepted,0,0
1547,2024-08-14,0.08457259809621219,0.06395666798305787,0.18348218319774764,0.7837422745866975,5.054024361657996,0.9672244577844452,1,0,3,750,-1048.9696561432534,5,0,accepted,0,0
1572,2024-09-24,0.08852747366150247,0.06556724819582437,0.17644728428102438,0.7862427127448068,5.403164969412545,0.9626899970258312,1,0,1,750,-1053.207009075556,5,0,accepted,0,0
1597,2024-10-30,0.0939059537911613,0.05219697206015479,0.1617151922712274,0.8087944669857322,5.429142128147991,0.9705096592569596,1,0,4,750,-1043.308686891719,5,0,accepted,0,0
1622,2024-12-06,0.0971312870644336,0.0714889855328003,0.17543673254432438,0.7791909296634464,6.070859450092179,0.9546276622077707,1,0,4,750,-1061.8997591973734,5,0,accepted,0,0
1647,2025-01-24,0.10432623073385582,0.06975059056760805,0.17572192910374246,0.7808662408697951,5.81600275402134,0.9565881699735375,1,0,4,750,-1053.8993896893246,5,0,accepted,0,0
1672,2025-03-05,0.10163463949986952,0.06534627484294477,0.15426089151762043,0.80057248800337,6.963391444823973,0.9548333795209905,1,0,4,750,-1069.8241613226387,5,0,accepted,0,0
1697,2025-04-10,0.09754986985933403,0.07215541074073396,0.18610943971678995,0.7730550752430143,6.928843098076629,0.9591645149598043,1,0,1,750,-1083.2952846951139,5,0,accepted,0,0
